state,city,scientific_name,count
Georgia,Dunwoody,Juniperus virginiana,79
Georgia,Dunwoody,Cornus florida,54
Georgia,Dunwoody,Ilex opaca,42
Georgia,Dunwoody,Nyssa sylvatica,39
Georgia,EastPoint,Lagerstroemia,84
Georgia,EastPoint,Acer rubrum,48
Georgia,EastPoint,Parrotia persica,41
Georgia,EastPoint,Cercis canadensis,35
Georgia,EastPoint,Quercus nuttallii,33
Georgia,Hapeville,Acer buergerianum,51
Georgia,Hapeville,Ulmus americana,31
Georgia,Hapeville,Lagerstroemia indica,30
Georgia,Hapeville,Quercus nuttallii,19
Georgia,Hapeville,Taxodium distichum,17
Georgia,Lithonia,Quercus alba,3
Georgia,Lithonia,Acer rubrum,1
Georgia,Lithonia,Cercis canadensis,1
Georgia,Marietta,Juniperus virginiana,17
Georgia,Marietta,Acer freemanii,14
Georgia,Marietta,Magnolia virginiana,13
Georgia,Marietta,Nyssa sylvatica,10
Georgia,Marietta,Quercus virginiana,7
Georgia,SandySprings,Quercus falcata,26
Georgia,SandySprings,Cornus florida,14
Georgia,SandySprings,Pinus taeda,12
Georgia,SandySprings,Rhus copallina,12
Georgia,SandySprings,Cercis canadensis,11
Georgia,Scottdale,Quercus nuttallii,21
Georgia,Scottdale,Acer rubrum,11
Georgia,Scottdale,Taxodium distichum,6
Georgia,Scottdale,Quercus alba,4
Georgia,Scottdale,Crataegus viridis,3
Georgia,Tucker,Quercus nuttallii,29
Georgia,Tucker,Ulmus americana,18
Georgia,Tucker,Quercus shumardii,8
Georgia,Unincorporated,Quercus nuttallii,61
Georgia,Unincorporated,Cercis canadensis,52
Georgia,Unincorporated,Nyssa sylvatica,47
Georgia,Unincorporated,Lagerstroemia indica,42
Georgia,Unincorporated,Quercus lyrata,38
Colorado,Colorado Springs,Pinus ponderosa,1924
Colorado,Colorado Springs,Fraxinus pennsylvanica,1844
Colorado,Colorado Springs,Acer saccharinum,952
Colorado,Colorado Springs,Picea pungens,888
Colorado,Colorado Springs,Ulmus pumila,841
Pennsylvania,Pittsburgh,Acer platanoides,3715
Pennsylvania,Pittsburgh,Acer rubrum,3422
Pennsylvania,Pittsburgh,Platanus acerifolia,3238
Pennsylvania,Pittsburgh,Pyrus calleryana,2969
Pennsylvania,Pittsburgh,Tilia cordata,2413
Kentucky,Louisville,Acer saccharum,1810
Kentucky,Louisville,Quercus palustris,1678
Kentucky,Louisville,Acer rubrum,1538
Kentucky,Louisville,Fraxinus pennsylvanica,1404
Kentucky,Louisville,Celtis occidentalis,1086
Florida,Cape Coral,Sabal palmetto,6632
Florida,Cape Coral,Quercus virginiana,5727
Florida,Cape Coral,Pinus elliottii,3298
Florida,Cape Coral,Taxodium distichum,1724
Florida,Cape Coral,Quercus laurifolia,903
Colorado,Denver,Fraxinus pennsylvanica,25736
Colorado,Denver,Gleditsia triacanthos,24178
Colorado,Denver,Tilia cordata,12961
Colorado,Denver,Acer saccharinum,12735
Colorado,Denver,Fraxinus americana,11922
Massachusetts,Worcester,Acer platanoides,9364
Massachusetts,Worcester,Acer saccharum,1346
Massachusetts,Worcester,Acer rubrum,1029
Massachusetts,Worcester,Acer saccharinum,342
Massachusetts,Worcester,Tilia cordata,335
Kansas,Overland Park,Acer rubrum,13289
Kansas,Overland Park,Fraxinus americana,7654
Kansas,Overland Park,Quercus palustris,3419
Kansas,Overland Park,Liquidambar styraciflua,1983
Kansas,Overland Park,Fraxinus pennsylvanica,1929
Texas,Houston,Lagerstroemia indica,44320
Texas,Houston,Quercus virginiana,44059
Texas,Houston,Celtis occidentalis,13013
Texas,Houston,Quercus nigra,10804
Texas,Houston,Triadica sebifera,9561
North Carolina,Durham,Lagerstroemia,3103
North Carolina,Durham,Quercus phellos,2777
North Carolina,Durham,Acer buergerianum,1027
North Carolina,Durham,Acer rubrum,718
North Carolina,Durham,Ulmus parvifolia,573
California,San Diego,Syagrus romanzoffianum,22624
California,San Diego,Washingtonia robusta,15129
California,San Diego,Cupaniopsis anacardioides,13608
California,San Diego,Eucalyptus,13269
California,San Diego,Pinus,12677
Texas,Dallas,Quercus virginiana,1238
Texas,Dallas,Ulmus crassifolia,844
Texas,Dallas,Quercus shumardii,761
Texas,Dallas,Taxodium distichum,691
Texas,Dallas,Lagerstroemia indica,497
California,Santa Rosa,Quercus,468
California,Santa Rosa,Sequoia sempervirens,203
California,Santa Rosa,Abies,155
California,Santa Rosa,Acer,139
California,Santa Rosa,Platanus acerifolia,87
Iowa,Adair,Acer saccharinum,72
Iowa,Adair,Fraxinus pennsylvanica,53
Iowa,Adair,Acer platanoides,27
Iowa,Adair,Picea pungens,22
Iowa,Adair,Acer saccharum,16
Iowa,Adel,Fraxinus pennsylvanica,97
Iowa,Adel,Acer saccharinum,89
Iowa,Adel,Malus,57
Iowa,Adel,Acer nigrum,40
Iowa,Adel,Pyrus,39
Iowa,Baxter,Acer saccharum,146
Iowa,Baxter,Acer saccharinum,18
Iowa,Baxter,Juniperus virginiana,13
Iowa,Baxter,Picea pungens,11
Iowa,Baxter,Quercus rubra,10
Iowa,Bayard,Fraxinus pennsylvanica,13
Iowa,Bayard,Acer saccharinum,12
Iowa,Bayard,Acer saccharum,11
Iowa,Bayard,Acer platanoides,9
Iowa,Bayard,Celtis occidentalis,4
Iowa,Bondurant,Malus,61
Iowa,Bondurant,Catalpa,51
Iowa,Bondurant,Fraxinus pennsylvanica,40
