Name,Longitude,Latitude
Pyrus calleryana,11.069665,46.090555
Pyrus calleryana,11.06955,46.090618
Pyrus calleryana,11.069554,46.090647
Pyrus calleryana,11.0694,46.090699
Pyrus calleryana,11.069352,46.090677
Pyrus calleryana,11.069291,46.090687
Pyrus calleryana,11.105741,46.042851
Tilia cordata,11.105732,46.04294
Tilia cordata,11.105721,46.043036
Tilia cordata,11.10571,46.043125
Tilia cordata,11.1057,46.043213
Tilia cordata,11.105678,46.043388
Tilia cordata,11.105668,46.043468
Tilia cordata,11.105658,46.043549
Tilia cordata,11.105649,46.043635
Tilia cordata,11.105637,46.043726
Tilia cordata,11.105625,46.043814
Tilia cordata,11.105613,46.043906
Tilia cordata,11.105751,46.042498
Tilia cordata,11.10575,46.04244
Acer campestre,11.105742,46.042408
Tilia cordata,11.10574,46.04223
Tilia cordata,11.105749,46.042145
Tilia cordata,11.105765,46.042058
Tilia cordata,11.10579,46.041975
Tilia cordata,11.10582,46.041899
Tilia cordata,11.105913,46.041723
Tilia cordata,11.105861,46.041815
Tilia cordata,11.106063,46.041494
Tilia cordata,11.106014,46.041571
Tilia cordata,11.106145,46.041365
Tilia cordata,11.105878,46.041617
Morus alba,11.105826,46.041696
Morus alba,11.105749,46.041824
Morus alba,11.105651,46.042498
Morus alba,11.105654,46.042579
Morus alba,11.105653,46.042669
Morus alba,11.105649,46.042769
Morus alba,11.105644,46.042847
Morus alba,11.105633,46.042937
Morus alba,11.105622,46.043035
Morus alba,11.105612,46.043117
Morus alba,11.105601,46.043208
Morus alba,11.105516,46.043901
Morus alba,11.105505,46.043991
Morus alba,11.105495,46.044081
Morus alba,11.105485,46.04417
Morus alba,11.105474,46.044232
Morus alba,11.105977,46.041622
Tilia cordata,11.146332,46.036644
Pyrus calleryana,11.146323,46.036577
Pyrus calleryana,11.146308,46.036483
Pyrus calleryana,11.146294,46.036396
Pyrus calleryana,11.139173,46.044164
Acer pseudoplatanus,11.138006,46.054922
Carpinus betulus,11.137982,46.054928
Carpinus betulus,11.137974,46.054912
Carpinus betulus,11.138072,46.054964
Carpinus betulus,11.138121,46.054986
Carpinus betulus,11.138239,46.055157
Carpinus betulus,11.138392,46.055171
Carpinus betulus,11.138364,46.055174
Carpinus betulus,11.138336,46.055165
Carpinus betulus,11.13833,46.055145
Carpinus betulus,11.138299,46.055161
Carpinus betulus,11.138535,46.055283
Carpinus betulus,11.138535,46.0553
Carpinus betulus,11.138551,46.055309
Carpinus betulus,11.138526,46.055315
Carpinus betulus,11.138545,46.055327
Carpinus betulus,11.138538,46.055338
Carpinus betulus,11.138575,46.055332
Carpinus betulus,11.138678,46.055502
Carpinus betulus,11.138793,46.055549
Carpinus betulus,11.138782,46.055558
Carpinus betulus,11.139105,46.055776
Carpinus betulus,11.139083,46.055764
Carpinus betulus,11.13907,46.055779
Carpinus betulus,11.139077,46.055794
Carpinus betulus,11.139062,46.055789
Carpinus betulus,11.13904,46.055812
Carpinus betulus,11.139026,46.055824
Carpinus betulus,11.129695,46.013492
Carpinus betulus,11.129783,46.013483
Carpinus betulus,11.129872,46.013473
Carpinus betulus,11.129296,46.012963
Carpinus betulus,11.129381,46.012966
Carpinus betulus,11.129454,46.013016
Carpinus betulus,11.129511,46.013076
Carpinus betulus,11.129577,46.013143
Carpinus betulus,11.129629,46.013197
Carpinus betulus,11.129695,46.013328
Carpinus betulus,11.12964,46.013385
Carpinus betulus,11.137115,46.054685
Celtis australis,11.137116,46.054672
Celtis australis,11.138009,46.054942
Celtis australis,11.138684,46.055049
Celtis australis,11.138058,46.05494
Celtis australis,11.138094,46.054956
Celtis australis,11.13812,46.054969
Celtis australis,11.138236,46.055113
Celtis australis,11.11401,46.037611
Cupressus sempervirens,11.114013,46.037564
Cupressus sempervirens,11.13807,46.054368
Cupressus sempervirens,11.155209,46.065023
Cupressus sempervirens,11.138539,46.055227
Diospyros kaki,11.139707,46.044314
Fraxinus,11.139711,46.044363
Fraxinus,11.137738,46.05448
Fraxinus ornus,11.13809,46.054935
Fraxinus americana,11.138129,46.054947
Fraxinus americana,11.138167,46.055017
Fraxinus americana,11.138192,46.055046
Fraxinus americana,11.138217,46.055073
Fraxinus americana,11.138255,46.055086
Fraxinus americana,11.13826,46.055062
Fraxinus americana,11.138235,46.055052
Fraxinus americana,11.13821,46.055023
Fraxinus americana,11.138185,46.054993
Fraxinus americana,11.13816,46.054968
Fraxinus americana,11.138157,46.054946
Fraxinus americana,11.138192,46.054971
Fraxinus americana,11.13822,46.054999
Fraxinus americana,11.138243,46.055028
Fraxinus americana,11.138348,46.055113
Fraxinus americana,11.138372,46.055111
Fraxinus americana,11.138381,46.05513
Fraxinus americana,11.138418,46.055141
Fraxinus americana,11.13839,46.055148
Fraxinus americana,11.138363,46.055157
Fraxinus ornus,11.138586,46.055351
Fraxinus excelsior,11.129376,46.013694
Fraxinus excelsior,11.129672,46.013577
Fraxinus excelsior,11.129466,46.013624
Fraxinus excelsior,11.129367,46.013205
Fraxinus excelsior,11.129333,46.013049
Fraxinus excelsior,11.129599,46.013265
Fraxinus excelsior,11.138714,46.055205
Malus sylvestris,11.138739,46.055249
Malus sylvestris,11.138516,46.055301
Morus nigra,11.138712,46.055496
Morus nigra,11.138766,46.055487
Morus nigra,11.139011,46.055549
Morus nigra,11.095222,46.065896
Morus nigra,11.138085,46.054367
Populus nigra,11.138257,46.055009
Populus nigra,11.138277,46.055033
Populus nigra,11.139428,46.055847
Populus nigra,11.139296,46.055811
Populus nigra,11.139284,46.055805
Populus nigra,11.139286,46.055813
Populus nigra,11.139289,46.055825
Populus nigra,11.139267,46.055822
Populus nigra,11.139255,46.055803
Populus nigra,11.139242,46.055816
Populus nigra,11.137053,46.054704
Prunus domestica,11.137819,46.054486
Prunus,11.137787,46.054503
Prunus,11.138234,46.054483
Prunus avium,11.138226,46.054474
Prunus avium,11.138201,46.054455
Prunus avium,11.13837,46.054676
Prunus avium,11.138356,46.054647
Prunus avium,11.138343,46.054618
Prunus domestica,11.138668,46.055036
Prunus avium,11.138669,46.055066
Prunus avium,11.138563,46.055085
Prunus avium,11.138555,46.055112
Prunus avium,11.138538,46.054973
Prunus avium,11.138505,46.05494
Prunus avium,11.138503,46.0549
Prunus avium,11.138489,46.054875
Prunus avium,11.138479,46.05486
Prunus avium,11.138565,46.054907
Prunus domestica,11.138612,46.054914
Prunus avium,11.138633,46.054928
Prunus avium,11.138629,46.054932
Prunus avium,11.138619,46.054849
Prunus domestica,11.138764,46.055148
Prunus avium,11.138696,46.055167
Prunus avium,11.138507,46.055274
Prunus avium,11.139144,46.043858
Quercus robur,11.139116,46.055784
Quercus robur,11.137973,46.054404
Robinia pseudoacacia,11.137969,46.054409
Robinia pseudoacacia,11.137965,46.054403
Robinia pseudoacacia,11.13772,46.054488
Robinia pseudoacacia,11.137706,46.054502
Robinia pseudoacacia,11.138066,46.054342
Robinia pseudoacacia,11.138065,46.054336
Robinia pseudoacacia,11.138156,46.054405
Robinia pseudoacacia,11.138128,46.054946
Sophora japonica,11.13057,46.013932
Sophora japonica,11.130501,46.013873
Sophora japonica,11.130367,46.013753
Sophora japonica,11.130235,46.013636
Sophora japonica,11.130101,46.013518
Sophora japonica,11.130034,46.013459
Sophora japonica,11.129968,46.0134
Sophora japonica,11.129739,46.013193
Sophora japonica,11.129818,46.013266
Sophora japonica,11.131397,46.013743
Sophora japonica,11.131398,46.01383
Sophora japonica,11.131359,46.013911
Sophora japonica,11.066122,46.089066
Tilia tomentosa,11.066172,46.089097
Tilia tomentosa,11.066235,46.089137
Tilia tomentosa,11.064135,46.088987
Tilia x europaea,11.064225,46.088938
Tilia x europaea,11.064278,46.088902
Tilia x europaea,11.0649,46.088573
Tilia x europaea,11.064986,46.088527
Tilia x europaea,11.065057,46.08849
Tilia x europaea,11.065543,46.088374
Tilia x europaea,11.065722,46.088218
Tilia x europaea,11.065815,46.088172
Tilia x europaea,11.065852,46.088153
Tilia x europaea,11.065881,46.088137
Tilia x europaea,11.106539,46.037664
Tilia x europaea,11.106578,46.037628
Tilia x europaea,11.106618,46.037592
Tilia x europaea,11.106656,46.037556
Tilia x europaea,11.106697,46.037893
Tilia x europaea,11.106719,46.037852
Tilia x europaea,11.106742,46.037809
Tilia x europaea,11.106765,46.037768
Tilia x europaea,11.106818,46.037671
Tilia x europaea,11.106842,46.03763
Tilia x europaea,11.106865,46.037588
Tilia x europaea,11.139182,46.044256
Tilia x europaea,11.138487,46.055253
Tilia x europaea,11.139094,46.055776
Tilia x europaea,11.139084,46.055779
Tilia x europaea,11.139094,46.055768
Tilia x europaea,11.138747,46.055549
Ulmus,11.137379,46.054648
Pyrus communis,11.138784,46.055273
Pyrus communis,11.138809,46.055287
Pyrus communis,11.119772,46.097906
Celtis australis,11.11962,46.097991
Betula pendula,11.119661,46.098001
Betula pendula,11.119229,46.098516
Magnolia x soulangeana,11.119174,46.098419
Parrotia persica,11.119214,46.098453
Parrotia persica,11.119262,46.098483
Parrotia persica,11.10869,46.127446
Carpinus betulus,11.108428,46.127033
Carpinus betulus,11.107219,46.124071
Carpinus betulus,11.108382,46.12696
Carpinus betulus,11.107248,46.124164
Carpinus betulus,11.093,46.118135
Tilia cordata,11.09267,46.118548
Tilia cordata,11.092602,46.118631
Tilia cordata,11.096175,46.120193
Platanus x hispanica,11.106067,46.119931
Carpinus betulus,11.106185,46.120718
Carpinus betulus,11.106163,46.120632
Carpinus betulus,11.090329,46.121476
Tilia cordata,11.090636,46.121306
Tilia cordata,11.090695,46.121228
Tilia cordata,11.09076,46.121149
Tilia cordata,11.090815,46.121079
Tilia cordata,11.090879,46.121001
Tilia cordata,11.090942,46.120921
Tilia cordata,11.091003,46.120845
Tilia cordata,11.091057,46.120774
Tilia cordata,11.091126,46.120691
Tilia cordata,11.091189,46.120612
Tilia cordata,11.091248,46.120531
Tilia cordata,11.091376,46.120377
Tilia cordata,11.091618,46.120075
Tilia cordata,11.09226,46.119061
Tilia cordata,11.092193,46.119141
Tilia cordata,11.092136,46.119216
Tilia cordata,11.092075,46.119291
Tilia cordata,11.092009,46.119376
Tilia cordata,11.091947,46.119454
Tilia cordata,11.091885,46.119531
Tilia cordata,11.091822,46.119608
Tilia cordata,11.091761,46.119685
Tilia cordata,11.091701,46.119761
Tilia cordata,11.091642,46.119836
Tilia cordata,11.091576,46.119918
Tilia cordata,11.091513,46.119996
Tilia cordata,11.091453,46.120072
Tilia cordata,11.091388,46.12015
Tilia cordata,11.091262,46.12031
Tilia cordata,11.091136,46.120468
Tilia cordata,11.09108,46.120542
Tilia cordata,11.091015,46.12062
Tilia cordata,11.09095,46.1207
Tilia cordata,11.090881,46.120788
Tilia cordata,11.113115,46.100904
Tilia platyphyllos,11.1132,46.100914
Tilia platyphyllos,11.113282,46.100925
Tilia platyphyllos,11.113431,46.100943
Tilia platyphyllos,11.113507,46.100952
Tilia platyphyllos,11.113584,46.100962
Tilia platyphyllos,11.113731,46.10098
Tilia platyphyllos,11.113805,46.100988
Tilia platyphyllos,11.11477,46.098784
Prunus serrulata,11.115025,46.098811
Platanus x hispanica,11.115282,46.098838
Platanus x hispanica,11.113509,46.098647
Platanus x hispanica,11.113763,46.098675
Platanus x hispanica,11.114018,46.098703
Platanus x hispanica,11.114274,46.098732
Platanus x hispanica,11.118958,46.096546
Acer pseudoplatanus,11.108816,46.105615
Acer pseudoplatanus,11.108861,46.105533
Acer pseudoplatanus,11.10891,46.105425
Acer pseudoplatanus,11.119607,46.097489
Cupressus sempervirens,11.119642,46.097497
Cupressus sempervirens,11.104884,46.107307
Cupressus sempervirens,11.118979,46.096754
