stateCode,year,min,max
003,1986,50.53,72.48
003,1987,49.48,72.58
003,1988,47.75,71.74
003,1989,48.01,69.92
003,1990,50.49,73.19
003,1991,50.87,71.74
003,1992,49.24,70.53
003,1993,48.69,69.9
003,1994,49.69,71.09
003,1995,49.24,71.7
003,1996,48.68,70.43
003,1997,48.95,70.37
003,1998,52.57,73.62
003,1999,50.37,73.94
003,2000,49.78,72.02
003,2001,50.28,72.16
003,2002,50.0,71.14
003,2003,49.56,70.97
003,2004,50.72,71.35
003,2005,50.62,73.33
003,2006,50.39,73.57
003,2007,51.02,72.58
003,2008,48.9,70.81
003,2009,49.72,70.11
003,2010,49.98,72.32
003,2011,50.56,73.06
003,2012,52.05,75.16
003,2013,49.03,70.24
003,2014,48.12,69.2
003,2015,50.94,71.87
003,2016,52.08,73.5
003,2017,51.79,73.27
003,2018,50.8,71.51
003,2019,50.85,71.55
003,2020,51.02,71.33
003,2021,50.72,71.98
003,2022,49.7,72.62
003,2023,28.98,47.3
004,1895,44.48,68.42
004,1896,45.66,69.28
004,1897,44.73,68.19
004,1898,43.95,69.44
004,1899,44.12,69.03
004,1900,45.03,69.94
004,1901,44.53,69.96
004,1902,43.68,68.68
004,1903,43.44,68.97
004,1904,44.96,69.84
004,1905,44.5,69.66
004,1906,45.31,69.01
004,1907,45.0,68.02
004,1908,43.44,68.98
004,1909,44.4,68.04
004,1910,44.6,70.72
004,1911,42.71,68.01
004,1912,43.22,67.84
004,1913,43.94,68.93
004,1914,44.96,69.78
004,1915,44.3,69.18
004,1916,43.02,68.15
004,1917,43.32,69.96
004,1918,44.3,69.38
004,1919,43.19,69.36
004,1920,43.42,68.73
004,1921,44.52,70.09
004,1922,43.4,68.71
004,1923,43.49,69.21
004,1924,43.51,70.78
004,1925,44.6,69.72
004,1926,45.75,71.85
004,1927,44.36,69.42
004,1928,44.42,70.9
004,1929,43.58,70.89
004,1930,43.84,70.05
004,1931,45.52,71.01
004,1932,43.82,69.98
004,1933,43.56,69.9
004,1934,46.85,72.55
004,1935,44.18,69.47
004,1936,45.41,71.81
004,1937,44.51,69.82
004,1938,44.96,69.55
004,1939,45.05,71.58
004,1940,46.52,71.15
004,1941,45.38,68.77
004,1942,44.18,69.86
004,1943,44.98,70.71
004,1944,43.58,68.86
004,1945,44.72,69.43
004,1946,43.91,69.51
004,1947,44.54,70.53
004,1948,42.77,68.49
004,1949,43.21,69.22
004,1950,45.35,70.91
004,1951,44.56,69.88
004,1952,44.41,69.09
004,1953,44.34,69.98
004,1954,44.72,70.45
004,1955,43.46,68.99
004,1956,43.91,70.06
004,1957,45.13,69.03
004,1958,46.42,71.32
004,1959,45.57,72.32
004,1960,45.29,70.79
004,1961,45.08,70.54
004,1962,44.62,70.13
004,1963,45.13,69.02
004,1964,43.93,69.17
004,1965,44.65,68.77
004,1966,45.26,70.73
004,1967,45.19,69.77
004,1968,45.16,70.01
004,1969,45.32,69.66
004,1970,45.31,70.32
004,1971,43.81,68.61
004,1972,44.88,69.58
004,1973,45.21,69.38
004,1974,45.06,70.18
