city,state,scientific_name,tree_count
Albuquerque,New Mexico,Fraxinus pennsylvanica,216
Albuquerque,New Mexico,Acer platanoides,186
Albuquerque,New Mexico,Acer freemanii,159
Albuquerque,New Mexico,Acer saccharinum,149
Albuquerque,New Mexico,Tilia cordata,148
Albuquerque,New Mexico,Other,1616
Greensboro,North Carolina,Fraxinus pennsylvanica,713
Greensboro,North Carolina,Acer platanoides,523
Greensboro,North Carolina,Acer freemanii,437
Greensboro,North Carolina,Acer saccharinum,405
Greensboro,North Carolina,Tilia cordata,295
Greensboro,North Carolina,Other,4206
Oklahoma City,Oklahoma,Fraxinus pennsylvanica,711
Oklahoma City,Oklahoma,Acer platanoides,689
Oklahoma City,Oklahoma,Acer freemanii,584
Oklahoma City,Oklahoma,Acer saccharinum,567
Oklahoma City,Oklahoma,Tilia cordata,455
Oklahoma City,Oklahoma,Other,5865
Huntington Beach,California,Fraxinus pennsylvanica,4681
Huntington Beach,California,Acer platanoides,4037
Huntington Beach,California,Acer freemanii,3896
Huntington Beach,California,Acer saccharinum,2574
Huntington Beach,California,Tilia cordata,1665
Huntington Beach,California,Other,28376
Fresno,California,Fraxinus pennsylvanica,749
Fresno,California,Acer platanoides,713
Fresno,California,Acer freemanii,588
Fresno,California,Acer saccharinum,444
Fresno,California,Tilia cordata,397
Fresno,California,Other,3282
Orlando,Florida,Fraxinus pennsylvanica,17126
Orlando,Florida,Acer platanoides,14988
Orlando,Florida,Acer freemanii,10620
Orlando,Florida,Acer saccharinum,2855
Orlando,Florida,Tilia cordata,2609
Orlando,Florida,Other,17986
Nashville,Tennessee,Fraxinus pennsylvanica,281
Nashville,Tennessee,Acer platanoides,166
Nashville,Tennessee,Acer freemanii,154
Nashville,Tennessee,Acer saccharinum,131
Nashville,Tennessee,Tilia cordata,120
Nashville,Tennessee,Other,1187
St. Louis,Missouri,Fraxinus pennsylvanica,8575
St. Louis,Missouri,Acer platanoides,7761
St. Louis,Missouri,Acer freemanii,7210
St. Louis,Missouri,Acer saccharinum,6503
St. Louis,Missouri,Tilia cordata,4557
St. Louis,Missouri,Other,48846
Seffner,Florida,Fraxinus pennsylvanica,4
Seffner,Florida,Acer platanoides,4
Seffner,Florida,Acer freemanii,3
Seffner,Florida,Acer saccharinum,1
Seffner,Florida,Tilia cordata,0
Tampa,Florida,Fraxinus pennsylvanica,5379
Tampa,Florida,Acer platanoides,3248
Tampa,Florida,Acer freemanii,2851
Tampa,Florida,Acer saccharinum,1381
Tampa,Florida,Tilia cordata,1236
Tampa,Florida,Other,9563
Temple Terrace,Florida,Fraxinus pennsylvanica,3
Temple Terrace,Florida,Acer platanoides,3
Temple Terrace,Florida,Acer freemanii,1
Temple Terrace,Florida,Acer saccharinum,1
Temple Terrace,Florida,Tilia cordata,0
Las Vegas,Nevada,Fraxinus pennsylvanica,5888
Las Vegas,Nevada,Acer platanoides,4480
Las Vegas,Nevada,Acer freemanii,1844
Las Vegas,Nevada,Acer saccharinum,1483
Las Vegas,Nevada,Tilia cordata,1478
Las Vegas,Nevada,Other,16691
Phoenix,Arizona,Fraxinus pennsylvanica,19
Phoenix,Arizona,Acer platanoides,16
Phoenix,Arizona,Acer freemanii,14
Phoenix,Arizona,Acer saccharinum,12
Phoenix,Arizona,Tilia cordata,11
Phoenix,Arizona,Other,142
Minneapolis,Minnesota,Fraxinus pennsylvanica,28206
Minneapolis,Minnesota,Acer platanoides,20191
Minneapolis,Minnesota,Acer freemanii,16232
Minneapolis,Minnesota,Acer saccharinum,15362
Minneapolis,Minnesota,Tilia cordata,12745
Minneapolis,Minnesota,Other,96140
Indianapolis,Indiana,Fraxinus pennsylvanica,7042
Indianapolis,Indiana,Acer platanoides,5940
Indianapolis,Indiana,Acer freemanii,5803
Indianapolis,Indiana,Acer saccharinum,5717
Indianapolis,Indiana,Tilia cordata,3977
Indianapolis,Indiana,Other,68748
New Orleans,Louisiana,Fraxinus pennsylvanica,30244
New Orleans,Louisiana,Acer platanoides,21775
New Orleans,Louisiana,Acer freemanii,5409
New Orleans,Louisiana,Acer saccharinum,4186
New Orleans,Louisiana,Tilia cordata,3471
New Orleans,Louisiana,Other,38987
Madison,Wisconsin,Fraxinus pennsylvanica,20918
Madison,Wisconsin,Acer platanoides,17377
Madison,Wisconsin,Acer freemanii,4969
Madison,Wisconsin,Acer saccharinum,3894
Madison,Wisconsin,Tilia cordata,3390
Madison,Wisconsin,Other,33210
